tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
30,0.0,0.0,0.0,0.0055414205,-0.32083514,-0.036041047,-0.008158361,0.017341288,-0.99981636,-0.005945983,-0.005945983,0.023208514,0.01591989,0.004027924,-0.008247654,-0.02627741,-0.011316548,0.0028770885,-0.032031585,-0.0001918059,-0.019756008,-0.01170016,-0.0024934767,0.34027618,-0.014953841,-0.085755706,-0.085755706,0.16852064,-0.00030518044,-0.25604638,-0.17059587,-0.34088656,-0.26654458,-0.03961242,-0.0007629511,-0.0007629511,0.04196231,-0.050486565,-0.1627621,0.2024563,0.39030418,-0.0162559,-0.021605566,0.033410393,-0.20294312,-0.06608315,-0.51438874,0.1744936,-0.19176945,-0.05306955,0.018190935
31,0.0,0.0,0.0,8.726646e-05,-0.32301682,-0.040404372,-0.0020371096,0.01734097,-0.99984753,-0.005945983,-0.0070968186,0.02474296,0.015152667,0.010165713,-0.0070968186,-0.027044633,-0.012467383,0.006713207,-0.037402153,0.0001918059,-0.019756008,-0.012083772,-0.0024934767,0.1699855,0.0009155413,0.1699855,-0.25604638,0.26788738,0.1699855,-0.17059587,0.08514534,-0.00030518044,-0.4196231,0.22760357,-0.0007629511,-0.07553216,-0.0007629511,-0.049187243,-0.17480338,0.1886006,0.32792717,0.13535134,-0.020169672,0.06414316,-0.22217774,-0.048157945,-0.6128721,0.14467537,-0.2185388,-0.03730151,0.035456166
32,0.0,0.0,0.0,-0.008639379,-0.31756267,-0.0698568,0.005102852,0.017339777,-0.9998366,-0.005562371,-0.007864042,0.025893798,0.014385443,0.016303502,-0.0063295946,-0.027811857,-0.013234608,0.010932936,-0.04353994,0.0001918059,-0.019756008,-0.013234608,-0.0024934767,-0.085755706,-0.024109256,0.25543603,0.25543603,0.22491798,-0.00030518044,-0.085755706,-0.17059587,0.4257267,-0.34039825,0.14837873,-0.0007629511,-0.022125581,-0.0007629511,-0.06611396,-0.18282363,0.18590671,0.29854327,0.24086547,-0.041668158,0.1249186,-0.24676922,-0.022543877,-0.6840495,0.13434485,-0.2088911,-0.015036799,0.036496818
33,0.0,0.0,0.0,-0.026092673,-0.32738012,-0.12876166,0.010201264,0.017338384,-0.99979764,-0.0047951476,-0.008631266,0.02627741,0.012850996,0.023592126,-0.005562371,-0.027811857,-0.014385443,0.015152667,-0.04967773,-0.0001918059,-0.019756008,-0.014385443,-0.0024934767,-0.17059587,-0.013122759,-0.085755706,0.08514534,0.51898986,0.1699855,-0.25604638,-0.085755706,0.25543603,-0.34308386,0.12152285,-0.0007629511,-0.08621348,-0.0007629511,-0.108101115,-0.23879647,0.23386541,0.30166706,0.31299525,-0.04713459,0.16438678,-0.22069064,-0.008151799,-0.7173892,0.1228216,-0.19712958,0.003933534,0.056558996
34,0.0,0.0,0.0,-0.020638518,-0.3611959,-0.18984818,0.017336013,0.01733568,-0.9996994,-0.004027924,-0.009782101,0.02627741,0.012850996,0.032031585,-0.0051787593,-0.027811857,-0.015152667,0.019372396,-0.055431906,-0.0001918059,-0.019756008,-0.015152667,-0.0024934767,0.08514534,-0.031433586,-0.085755706,0.08514534,0.40485236,-0.42633706,-0.17059587,-0.085755706,0.1699855,-0.26654458,0.071839474,-0.0007629511,-0.0007629511,-0.0007629511,-0.17098908,-0.32461303,0.37247267,0.29472446,0.5522083,-0.05653185,0.19764149,-0.17513002,0.0049212724,-0.76758265,0.10734703,-0.20259506,-0.004119683,0.070576586
35,0.0,0.0,0.0,-0.02391101,-0.34592426,-0.21384646,0.024509681,0.016309625,-0.99956656,-0.004027924,-0.012083772,0.027811857,0.013234608,0.044307165,-0.0051787593,-0.027811857,-0.01591989,0.022824902,-0.061186083,-0.0001918059,-0.019756008,-0.015152667,-0.002109865,0.08514534,-0.16937514,-0.00030518044,0.1699855,0.745922,-0.00030518044,-0.17059587,0.08514534,0.34027618,-0.3068284,0.020813307,-0.0007629511,-0.0007629511,0.009918365,-0.22258788,-0.4150161,0.4623478,0.2610127,0.7233227,-0.033589114,0.23156434,-0.097617954,-0.024579782,-0.7127736,0.08157851,-0.18429145,-0.0031645223,0.07249992
36,0.0,0.0,0.0,-0.02172935,-0.32738012,-0.24220806,0.030623082,0.01630613,-0.999398,-0.0051787593,-0.015152667,0.031647973,0.014001831,0.0585008,-0.005562371,-0.027811857,-0.01591989,0.025126573,-0.06770749,-0.0005754177,-0.019372396,-0.014385443,-0.0013426413,-0.42633706,-0.24139772,0.4257267,0.25543603,0.6640116,-0.00030518044,-0.085755706,-0.085755706,-0.00030518044,-0.3283131,-0.061097123,0.0007629511,0.0038147555,0.081635766,-0.27906576,-0.5051526,0.6227167,0.2821004,0.8761003,-0.01366977,0.22014123,0.013510721,-0.09228777,-0.592596,0.04230185,-0.16907662,0.009135224,0.065533295
37,0.0,0.0,0.0,0.008813913,-0.32738012,-0.23893557,0.036731675,0.016302029,-0.9991922,-0.0074804304,-0.019372396,0.035100482,0.0155362785,0.070392765,-0.0051787593,-0.028962692,-0.01591989,0.026661022,-0.072694436,-0.0013426413,-0.018988784,-0.012467383,-0.0001918059,-0.17059587,-0.18341345,0.1699855,0.1699855,0.42633706,0.25543603,0.08514534,-0.00030518044,-0.25604638,-0.105409324,0.040955216,-0.0007629511,0.17013809,0.07400626,-0.28666136,-0.55578375,0.7092752,0.26180926,0.95556444,0.0033324752,0.16106626,0.049252212,-0.16730447,-0.4855635,0.055706996,-0.15233506,-0.0185861,0.052300543
38,0.0,0.0,0.0,0.042629667,-0.3590142,-0.20075649,0.043915078,0.017313657,-0.9988852,-0.010932936,-0.023592126,0.040471047,0.018605173,0.08036667,-0.0051787593,-0.032798808,-0.017070726,0.027044633,-0.07499611,-0.0024934767,-0.01822156,-0.009398489,0.0005754177,-0.34088656,-0.17364767,0.08514534,0.1699855,0.40082398,0.08514534,-0.17059587,-0.25604638,-0.085755706,-0.14703594,0.057068743,0.04196231,0.17013809,0.06332494,-0.22707832,-0.51607174,0.63389814,0.14035265,0.9347795,-0.016604684,0.1439682,-0.06410347,-0.18604912,-0.6107765,0.04626769,-0.17959633,-0.06537787,0.04350066
39,0.0,0.0,0.0,0.057901297,-0.41573742,-0.11676253,0.05103392,0.019346511,-0.9985095,-0.014001831,-0.025893798,0.04353994,0.020523231,0.09110781,-0.0051787593,-0.03663493,-0.01822156,0.027044633,-0.07921584,-0.002109865,-0.017454337,-0.0063295946,0.0013426413,-0.34088656,-0.101625085,-0.00030518044,-0.25604638,0.5069047,-0.00030518044,-0.34088656,-0.085755706,0.08514534,-0.27862975,0.16449225,0.07858396,0.04196231,0.0007629511,-0.15633361,-0.4549364,0.36218125,-0.041974396,0.766103,-0.009504307,0.23823148,-0.37816998,-0.16476443,-1.0173959,0.024350503,-0.24109066,-0.12409279,0.04179416
