tick,cmd_0,cmd_1,cmd_2,ang_vel_0,ang_vel_1,ang_vel_2,proj_grav_0,proj_grav_1,proj_grav_2,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_8,vel_9,vel_10,vel_11,vel_12,vel_13,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13
10,0.0,0.0,0.0,-0.011955505,0.17901623,-0.015217089,0.04491616,0.014254621,-0.998889,-0.0032607005,0.006713207,0.00095902954,-0.0005754177,0.01591989,-0.0036443123,-0.0070968186,-0.010549325,-0.010932936,-0.023208514,0.0036443123,-0.030880751,-0.0017262532,-0.0032607005,0.25543603,0.008239872,0.1699855,0.5960174,-0.1322652,0.08514534,0.1699855,0.1699855,-0.42633706,0.04901198,-0.2853437,0.13199054,-0.080109864,-0.0007629511,-0.05509816,-0.13372874,-0.1914882,0.690842,-1.4635942,-0.011907142,0.08262145,-0.041039214,-0.3836614,0.3350463,0.17339072,-0.09920086,-0.051518276,0.0155801475
11,0.0,0.0,0.0,-0.008683013,0.1953787,0.013144511,0.04186653,0.014257048,-0.9990215,-0.004027924,0.006713207,0.0005754177,-0.0001918059,0.011316548,-0.0047951476,-0.0074804304,-0.010549325,-0.012467383,-0.022057679,0.00095902954,-0.026661022,-0.0017262532,-0.0028770885,-0.25604638,0.12298772,0.34027618,0.4257267,-0.29340047,-0.17059587,-0.17059587,-0.34088656,-0.17059587,0.1309224,0.044983596,0.3288319,-0.0007629511,-0.0007629511,-0.037702873,-0.13919374,-0.1876221,0.69235134,-1.4496708,-0.014533654,0.09096039,-0.037783787,-0.38440257,0.2849009,0.13794507,-0.16563964,-0.051467516,0.0060925186
12,0.0,0.0,0.0,0.007679449,0.19646953,0.08623017,0.034744393,0.0142621985,-0.99929446,-0.0051787593,0.006713207,0.00095902954,-0.0001918059,0.0063295946,-0.005945983,-0.0074804304,-0.010165713,-0.014001831,-0.020906843,-0.00095902954,-0.018988784,-0.0013426413,-0.0028770885,-0.34088656,-0.085755706,-0.00030518044,-0.25604638,-0.08526742,0.08514534,0.08514534,0.1699855,-0.17059587,0.027527276,-0.15240711,0.3059434,-0.0007629511,-0.0007629511,-0.014996871,-0.14607212,-0.18087834,0.68577385,-1.4188738,0.021296153,0.09100785,-0.031399503,-0.38391253,0.31036597,0.20037274,-0.22388525,-0.06592408,-0.0032504052
13,0.0,0.0,0.0,0.007679449,0.19646953,0.08623017,0.034744393,0.0142621985,-0.99929446,-0.005945983,0.006713207,0.0013426413,-0.0005754177,0.0024934767,-0.006713207,-0.0074804304,-0.010165713,-0.01591989,-0.019756008,0.0001918059,-0.016303502,-0.0013426413,-0.0028770885,-0.00030518044,0.028381782,-0.25604638,-0.25604638,-0.2920577,-0.085755706,-0.17059587,0.1699855,0.1699855,0.036926832,0.16986343,-0.0007629511,-0.0007629511,-0.0007629511,-0.016972706,-0.1456807,-0.18404797,0.6760783,-1.3996589,0.015309542,0.10845668,-0.04181005,-0.3924604,0.32826376,0.21563704,-0.24597529,-0.06543599,-0.017626628
14,0.0,0.0,0.0,0.033859387,0.18228874,0.13095424,0.027558831,0.013247844,-0.9995324,-0.005945983,0.006713207,0.0017262532,-0.0005754177,-0.0017262532,-0.006713207,-0.0074804304,-0.010165713,-0.017454337,-0.01822156,0.002109865,-0.01591989,-0.0013426413,-0.004027924,0.4257267,0.13275349,-0.00030518044,-0.34088656,-0.29608607,-0.00030518044,-0.085755706,0.1699855,-0.42633706,0.09332418,0.2007477,-0.0007629511,-0.0007629511,-0.07553216,0.0067842156,-0.14687905,-0.1768057,0.6780944,-1.3697307,0.028766908,0.0965345,-0.05497712,-0.37141854,0.32378688,0.22801669,-0.26465127,-0.08109249,-0.005287662
15,0.0,0.0,0.0,0.033859387,0.18228874,0.13095424,0.027558831,0.013247844,-0.9995324,-0.0063295946,0.006713207,0.0024934767,-0.0005754177,-0.004411536,-0.006713207,-0.007864042,-0.010165713,-0.018605173,-0.01591989,0.004411536,-0.016303502,-0.0017262532,-0.0051787593,-0.34088656,-0.078431375,0.08514534,-0.085755706,-0.14972152,0.1699855,-0.25604638,0.1699855,-0.34088656,0.034241244,0.16717784,-0.0007629511,-0.0007629511,-0.0007629511,0.008773901,-0.1371887,-0.17405552,0.67613447,-1.3439722,0.030419515,0.09884829,-0.06310352,-0.38480592,0.312598,0.19139107,-0.2681004,-0.07078289,-0.0011758208
16,0.0,0.0,0.0,0.007679449,0.16810793,0.10150181,0.024504228,0.014269374,-0.9995979,-0.0063295946,0.0063295946,0.0028770885,-0.0001918059,-0.0074804304,-0.0063295946,-0.007864042,-0.010165713,-0.018988784,-0.01361822,0.0047951476,-0.017454337,-0.0024934767,-0.0047951476,-0.00030518044,-0.09796292,0.1699855,0.1699855,-0.12823682,0.34027618,-0.085755706,-0.085755706,0.51117724,0.23297475,-0.0046997787,-0.043488212,-0.08316167,-0.0007629511,-0.0052074343,-0.13269094,-0.16760771,0.64747876,-1.2589018,0.0062085055,0.11796238,-0.08828473,-0.3900303,0.24606547,0.19217542,-0.22715253,-0.04836519,-0.017535299
17,0.0,0.0,0.0,0.0033161256,0.13429217,0.030597804,0.018391056,0.014272321,-0.999729,-0.005945983,0.005945983,0.0032607005,-0.0005754177,-0.009398489,-0.006713207,-0.008247654,-0.010549325,-0.019372396,-0.012083772,0.0036443123,-0.017454337,-0.004027924,-0.0047951476,0.1699855,0.05035477,-0.00030518044,-0.00030518044,0.05304036,-0.25604638,0.25543603,-0.085755706,0.08514534,0.10406653,-0.14972152,-0.0007629511,-0.08621348,-0.0007629511,-0.039120816,-0.12613699,-0.132242,0.6455778,-1.207458,-0.021255448,0.10020172,-0.08424707,-0.3541949,0.16405264,0.21633476,-0.20722482,-0.05172532,-0.0025648773
18,0.0,0.0,0.0,0.0033161256,0.13429217,0.030597804,0.018391056,0.014272321,-0.999729,-0.0063295946,0.005562371,0.004027924,-0.0001918059,-0.010165713,-0.006713207,-0.008631266,-0.010932936,-0.018988784,-0.012083772,0.0017262532,-0.01783795,-0.0047951476,-0.0047951476,-0.085755706,-0.010070954,-0.25604638,-0.00030518044,-0.082581826,-0.00030518044,0.34027618,-0.085755706,-0.00030518044,-0.07318227,0.051697567,-0.08621348,-0.0007629511,-0.0007629511,-0.053780228,-0.12023118,-0.11665237,0.6403467,-1.1680596,-0.010251574,0.076616235,-0.079419576,-0.35878262,0.1515545,0.21540974,-0.19418916,-0.052041825,0.004678771
19,0.0,0.0,0.0,0.0022252947,0.06666067,0.03605196,0.014313316,0.01427399,-0.9997957,-0.0070968186,0.0051787593,0.0051787593,0.0001918059,-0.010549325,-0.0070968186,-0.009398489,-0.010932936,-0.018988784,-0.012467383,0.0005754177,-0.019756008,-0.004411536,-0.0036443123,-0.00030518044,-0.054016937,-0.00030518044,0.08514534,-0.13897917,0.1699855,-0.085755706,0.25543603,-0.085755706,-0.09332418,0.09869535,-0.011444267,-0.0007629511,0.04196231,-0.040688023,-0.11697829,-0.08817951,0.6221209,-1.1199417,-0.0065021925,0.0788809,-0.107792035,-0.3333256,0.09339805,0.19097555,-0.1913847,-0.066233516,-0.0047717392
20,0.0,0.0,0.0,0.0022252947,0.06666067,0.03605196,0.014313316,0.01427399,-0.9997957,-0.008631266,0.0047951476,0.0063295946,0.0013426413,-0.010549325,-0.0070968186,-0.010549325,-0.011316548,-0.018988784,-0.012850996,0.0001918059,-0.021290455,-0.004411536,-0.0032607005,0.25543603,0.033264667,-0.085755706,0.34027618,0.09600977,0.34027618,0.25543603,0.1699855,0.08514534,0.057068743,-0.08392462,-0.08468757,-0.0007629511,-0.0007629511,-0.047409274,-0.124173194,-0.084099725,0.6084137,-1.0706625,-0.009846695,0.0839415,-0.11911191,-0.3290064,0.07935,0.22150336,-0.14844266,-0.060433224,-0.0140707195
21,0.0,0.0,0.0,-0.010864675,0.028481591,0.06550439,0.014313316,0.01427399,-0.9997957,-0.009398489,0.0036443123,0.0070968186,0.0024934767,-0.010165713,-0.0070968186,-0.010932936,-0.011316548,-0.018988784,-0.013234608,0.0005754177,-0.021290455,-0.0047951476,-0.0036443123,-0.17059587,-0.086366065,-0.085755706,-0.085755706,-0.019470513,0.25543603,-0.17059587,-0.00030518044,0.34027618,-0.067811094,0.038269628,0.0038147555,-0.0038147555,-0.0007629511,-0.030824624,-0.13334742,-0.061353564,0.6041451,-1.0021243,-0.0072831474,0.09964753,-0.12240969,-0.31149638,0.01998315,0.20047447,-0.16881064,-0.055300366,-0.022673786
22,0.0,0.0,0.0,-0.022863813,0.009937468,5.454154e-05,0.013293396,0.0132538285,-0.9998238,-0.009398489,0.0032607005,0.0074804304,0.004411536,-0.0090148775,-0.0070968186,-0.011316548,-0.011316548,-0.018605173,-0.014385443,0.00095902954,-0.018988784,-0.005945983,-0.004411536,0.4257267,0.06195163,0.08514534,0.08514534,0.1994049,0.1699855,0.1699855,-0.085755706,0.1699855,-0.09063859,-0.030212864,0.1045243,-0.08926528,-0.1045243,-0.05659394,-0.13617215,-0.054595716,0.5882193,-0.99731475,-0.029780451,0.09097617,-0.11660187,-0.2994534,0.00492076,0.22359227,-0.1730988,-0.04972122,0.010626391
23,0.0,0.0,0.0,-0.022863813,0.009937468,5.454154e-05,0.013293396,0.0132538285,-0.9998238,-0.009398489,0.0024934767,0.007864042,0.0051787593,-0.008631266,-0.0070968186,-0.011316548,-0.01170016,-0.01822156,-0.01591989,0.0017262532,-0.01783795,-0.0074804304,-0.0063295946,-0.00030518044,0.0967422,-0.085755706,-0.00030518044,0.040955216,0.1699855,0.08514534,-0.085755706,-0.00030518044,-0.04901198,0.012756542,0.07858396,-0.0007629511,-0.0007629511,-0.05955784,-0.13326108,-0.039616935,0.59396887,-0.99052995,-0.027876865,0.073096074,-0.10094084,-0.2948321,-0.009499393,0.21143931,-0.19036034,-0.048096694,0.021406092
24,0.0,0.0,0.0,-0.01959132,-0.024969116,-0.050123673,0.013293154,0.012233278,-0.9998368,-0.009398489,0.0017262532,0.0090148775,0.005945983,-0.0070968186,-0.0070968186,-0.012083772,-0.012083772,-0.017454337,-0.01783795,0.002109865,-0.017070726,-0.0074804304,-0.005562371,0.1699855,-0.068055235,0.25543603,-0.00030518044,0.17792019,-0.085755706,-0.34088656,-0.17059587,0.25543603,-0.01544213,0.010070954,-0.0007629511,-0.0007629511,0.08468757,-0.074393824,-0.1274837,-0.045329913,0.5832907,-1.0021572,-0.06323294,0.08081051,-0.11501172,-0.2804835,-0.062079415,0.19291316,-0.20533223,-0.05571021,0.0143183395
25,0.0,0.0,0.0,-0.014137167,-0.053330716,-0.023943735,0.013293154,0.012233278,-0.9998368,-0.009782101,0.0013426413,0.009782101,0.0063295946,-0.005945983,-0.0070968186,-0.012467383,-0.012083772,-0.016687114,-0.019756008,0.002109865,-0.017070726,-0.0070968186,-0.004411536,-0.17059587,0.026550699,0.25543603,0.08514534,0.031555656,0.25543603,0.25543603,-0.25604638,0.08514534,-0.06915389,0.016784925,-0.0007629511,-0.0007629511,-0.0007629511,-0.068547234,-0.11742592,-0.018713027,0.58006674,-0.9637304,-0.050227437,0.044581212,-0.12070939,-0.26355842,-0.07842091,0.1922695,-0.20046237,-0.057996776,0.020010598
